AREA,ACCESS_STATUS,e8:6d:e9:0f:d5:f2,e8:6d:e9:0f:d5:e1,e8:6d:e9:0f:d5:e2,e8:6d:e9:0f:d5:f0,e8:6d:e9:0f:d5:f1,e8:6d:e9:0f:d5:e0,e8:6d:e9:0f:d8:30,e8:6d:e9:0f:d8:31,e8:6d:e9:0f:d8:20,98:48:74:29:7c:94,e8:6d:e9:0f:d8:32,e8:6d:e9:0f:d8:21
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-74,-76,-72,-73,-74,-74,-120,-120,-120,-60,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-73,-76,-120,-75,-74,-72,-120,-120,-120,-56,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-74,-120,-72,-74,-76,-72,-120,-120,-120,-56,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-74,-72,-72,-74,-76,-70,-120,-120,-120,-62,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-71,-68,-72,-70,-70,-70,-120,-120,-120,-62,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-65,-68,-70,-64,-65,-68,-120,-120,-120,-54,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-62,-62,-62,-63,-65,-68,-120,-120,-120,-48,-120,-76
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-73,-62,-62,-70,-71,-68,-120,-120,-120,-52,-120,-76
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-64,-66,-64,-65,-63,-66,-120,-120,-76,-48,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-72,-120,-74,-70,-71,-66,-120,-120,-120,-52,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-71,-120,-66,-71,-73,-120,-120,-120,-120,-58,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-71,-120,-66,-76,-73,-120,-120,-120,-120,-64,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-72,-68,-68,-73,-72,-68,-120,-120,-120,-46,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-77,-68,-68,-76,-75,-68,-120,-120,-120,-46,-120,-120
PACKAGING_LINES,ACCESS_RESTRICTED,-57,-60,-60,-54,-54,-60,-120,-120,-120,-52,-120,-120
PACKAGING_LINES,ACCESS_RESTRICTED,-63,-60,-60,-62,-65,-60,-120,-120,-76,-46,-120,-76
PACKAGING_LINES,ACCESS_RESTRICTED,-66,-60,-60,-65,-65,-60,-120,-120,-76,-42,-120,-76
PACKAGING_LINES,ACCESS_RESTRICTED,-69,-60,-68,-70,-69,-60,-120,-120,-76,-54,-120,-76
PACKAGING_LINES,ACCESS_RESTRICTED,-68,-66,-66,-69,-68,-66,-120,-120,-120,-48,-120,-120
PACKAGING_LINES,ACCESS_RESTRICTED,-73,-66,-66,-75,-74,-66,-120,-120,-120,-52,-120,-120
PACKAGING_LINES,ACCESS_RESTRICTED,-75,-68,-68,-75,-74,-68,-120,-120,-120,-62,-120,-120
PACKAGING_LINES,ACCESS_RESTRICTED,-76,-68,-72,-75,-76,-72,-120,-120,-120,-54,-120,-120
PACKAGING_LINES,ACCESS_RESTRICTED,-70,-68,-72,-70,-70,-72,-120,-120,-120,-58,-120,-120
PACKAGING_LINES,ACCESS_RESTRICTED,-75,-68,-68,-74,-72,-68,-120,-120,-120,-58,-120,-120
PACKAGING_LINES,ACCESS_RESTRICTED,-73,-74,-68,-74,-72,-74,-120,-120,-120,-56,-120,-120
PACKAGING_LINES,ACCESS_RESTRICTED,-74,-74,-68,-74,-72,-74,-120,-120,-120,-62,-120,-120
PACKAGING_LINES,ACCESS_RESTRICTED,-73,-72,-120,-75,-74,-120,-120,-120,-120,-54,-120,-120
PACKAGING_LINES,ACCESS_RESTRICTED,-73,-72,-120,-75,-74,-120,-120,-120,-120,-60,-120,-120
PACKAGING_LINES,ACCESS_RESTRICTED,-74,-72,-120,-74,-74,-120,-120,-120,-120,-54,-120,-120
PERMITTED_AREA,ACCESS_PERMITTED,-67,-70,-72,-69,-67,-72,-64,-64,-60,-40,-65,-60
