AREA,c0:74:ad:9d:de:f6,c0:74:ad:9d:de:f5,de:4f:22:37:4e:56
EKETA-OFFICE-201,-57,-55,-56
EKETA-OFFICE-201,-56,-55,-57
EKETA-OFFICE-201,-57,-53,-56
