AREA,e8:6d:e9:0f:d5:f2,e8:6d:e9:0f:d5:f0,e8:6d:e9:0f:d5:f1,20:87:ec:37:f9:d2,20:87:ec:37:f9:d1,20:87:ec:37:f9:d0,98:48:74:29:88:60,98:48:74:29:88:62,e8:6d:e9:0f:fb:72,e8:6d:e9:0f:fb:71,e8:6d:e9:0f:fb:70,60:12:3c:31:f6:62,98:48:74:29:88:61,e8:6d:e9:0f:f4:a2,e8:6d:e9:10:37:a2
PERMITTED_AREA,-120,-120,-120,-75,-74,-73,-75,-120,-73,-73,-73,-120,-120,-120,-120
PERMITTED_AREA,-89,-89,-89,-75,-76,-76,-120,-120,-78,-78,-78,-120,-120,-120,-120
PERMITTED_AREA,-120,-120,-120,-120,-120,-120,-65,-66,-79,-79,-79,-120,-65,-79,-120
PERMITTED_AREA,-81,-81,-81,-76,-120,-120,-120,-120,-83,-83,-83,-120,-120,-120,-120
PERMITTED_AREA,-78,-78,-78,-120,-85,-120,-120,-120,-89,-89,-89,-120,-120,-120,-120
PERMITTED_AREA,-89,-89,-89,-80,-79,-79,-85,-85,-120,-120,-120,-120,-120,-120,-120
PERMITTED_AREA,-89,-89,-89,-70,-71,-70,-120,-120,-85,-85,-85,-120,-120,-120,-120
PERMITTED_AREA,-89,-89,-120,-120,-81,-83,-120,-120,-120,-89,-89,-120,-120,-120,-120
PERMITTED_AREA,-120,-120,-120,-76,-76,-76,-81,-120,-89,-89,-89,-120,-120,-120,-120
PERMITTED_AREA,-120,-120,-120,-61,-61,-62,-85,-81,-85,-89,-89,-120,-79,-120,-120
PERMITTED_AREA,-120,-120,-120,-65,-63,-64,-120,-120,-89,-89,-89,-120,-120,-87,-120
PERMITTED_AREA,-120,-120,-120,-74,-75,-74,-85,-120,-85,-89,-89,-120,-120,-120,-120
PERMITTED_AREA,-120,-120,-120,-73,-73,-73,-83,-83,-85,-85,-85,-120,-83,-120,-120
PERMITTED_AREA,-120,-120,-120,-67,-68,-67,-79,-120,-89,-85,-89,-120,-120,-120,-120
PERMITTED_AREA,-120,-120,-120,-67,-120,-67,-72,-72,-83,-83,-85,-120,-120,-120,-120
PERMITTED_AREA,-120,-120,-120,-69,-70,-70,-71,-120,-85,-85,-85,-120,-120,-120,-87
PERMITTED_AREA,-120,-120,-120,-62,-62,-61,-71,-120,-85,-85,-85,-120,-120,-120,-120
PERMITTED_AREA,-120,-120,-120,-67,-67,-67,-81,-120,-85,-85,-89,-120,-120,-120,-120
PERMITTED_AREA,-120,-120,-120,-70,-70,-70,-81,-120,-89,-89,-89,-120,-120,-120,-120
PERMITTED_AREA,-89,-89,-89,-120,-120,-120,-77,-78,-120,-120,-120,-120,-120,-120,-120
PERMITTED_AREA,-120,-120,-120,-85,-120,-85,-83,-83,-120,-120,-120,-120,-120,-120,-120
PERMITTED_AREA,-120,-120,-120,-85,-85,-85,-79,-120,-120,-120,-120,-120,-120,-120,-120
PERMITTED_AREA,-65,-65,-65,-85,-120,-120,-120,-120,-89,-89,-89,-120,-120,-120,-120
PERMITTED_AREA,-83,-83,-83,-87,-120,-85,-77,-120,-120,-120,-120,-120,-120,-120,-120
