AREA,c0:74:ad:9d:de:f6,c0:74:ad:9d:de:f5,de:4f:22:37:4e:56
EKETA-OFFICE-204,-65,-51,-63
EKETA-OFFICE-204,-62,-53,-60
EKETA-OFFICE-204,-62,-56,-52
